Time [s],CLK,A13,A14,A15,MODE0,MODE1,IOM,POWER,STATE0,STATE1,ROM0_CS,RAM0_CS,RAM1_CS,BSRE,ROM1_CS,RDY
29.578501600,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1
29.583542600,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1
29.588583800,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1
29.593650800,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1
29.595724600,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1
29.597774400,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1
29.602810200,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1
29.607850800,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1
29.612931000,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1
29.617991000,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1
29.623033000,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1
29.625090800,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
29.627140000,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
29.632201600,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
29.632207600,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1
29.632207800,0,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1
29.637255400,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1
29.642329200,0,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1
29.646388400,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1
29.651452600,0,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1
29.653512800,0,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1
29.653520800,0,1,0,0,0,1,0,1,1,1,1,0,1,1,1,1
29.653529000,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1
29.655578200,1,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1
29.660618600,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1
29.665646400,1,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1
29.670715400,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1
29.672791800,0,1,0,0,0,1,0,1,1,1,1,0,1,1,1,1
29.674841000,1,1,0,0,0,1,0,1,1,1,1,0,1,1,1,1
29.679880400,0,1,0,0,0,1,0,1,1,1,1,0,1,1,1,1
29.684920600,1,1,0,0,0,1,0,1,1,1,1,0,1,1,1,1
29.689987000,0,1,0,0,0,1,0,1,1,1,1,0,1,1,1,1
29.692053000,0,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1
29.692061000,0,0,1,0,0,1,0,1,1,1,1,0,1,1,1,1
29.694111200,1,0,1,0,0,1,0,1,1,1,1,0,1,1,1,1
29.699151200,0,0,1,0,0,1,0,1,1,1,1,0,1,1,1,1
29.704192000,1,0,1,0,0,1,0,1,1,1,1,0,1,1,1,1
29.709258200,0,0,1,0,0,1,0,1,1,1,1,0,1,1,1,1
29.711334600,0,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1
29.713383400,1,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1
29.718426600,0,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1
29.723467000,1,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1
29.728508600,0,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1
29.730568800,0,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1
29.730577800,0,1,0,1,0,1,0,1,1,1,1,1,0,1,1,1
29.730585800,0,0,0,1,0,1,0,1,1,1,1,1,0,1,1,1
29.732634400,1,0,0,1,0,1,0,1,1,1,1,1,0,1,1,1
29.737676400,0,0,0,1,0,1,0,1,1,1,1,1,0,1,1,1
29.742716400,1,0,0,1,0,1,0,1,1,1,1,1,0,1,1,1
29.747783400,0,0,0,1,0,1,0,1,1,1,1,1,0,1,1,1
29.749855000,0,1,0,1,0,1,0,1,1,1,1,1,0,1,1,1
29.751903600,1,1,0,1,0,1,0,1,1,1,1,1,0,1,1,1
29.756946400,0,1,0,1,0,1,0,1,1,1,1,1,0,1,1,1
29.761989800,1,1,0,1,0,1,0,1,1,1,1,1,0,1,1,1
29.767058600,0,1,0,1,0,1,0,1,1,1,1,1,0,1,1,1
29.769124400,0,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1
29.769132400,0,0,1,1,0,1,0,1,1,1,1,1,0,1,1,1
29.771183200,1,0,1,1,0,1,0,1,1,1,1,1,0,1,1,1
29.776223800,0,0,1,1,0,1,0,1,1,1,1,1,0,1,1,1
29.781264000,1,0,1,1,0,1,0,1,1,1,1,1,0,1,1,1
29.786330400,0,0,1,1,0,1,0,1,1,1,1,1,0,1,1,1
29.787406800,0,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1
29.789455800,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1
29.794544800,0,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1
29.799588400,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1
29.804660200,0,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1
29.806721400,0,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1
29.806729800,0,1,0,0,0,1,0,1,1,1,1,0,1,1,1,1
29.806737800,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1
29.808789200,1,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1
29.813828800,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1
29.818870600,1,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1
29.823936600,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1
29.826011800,0,1,0,0,0,1,0,1,1,1,1,0,1,1,1,1
29.828060600,1,1,0,0,0,1,0,1,1,1,1,0,1,1,1,1
